word0,frequency1,word2,frequency3,word4,frequency5,word6,frequency7,word8,frequency9,word10,frequency11,word12,frequency13,word14,frequency15,word16,frequency17,word18,frequency19,word20,frequency21,word22,frequency23,word24,frequency25,word26,frequency27,word28,frequency29,word30,frequency31,word32,frequency33,word34,frequency35,word36,frequency37,word38,frequency39,word40,frequency41,word42,frequency43
null,null,housewife,1109,woo,116,null,null,null,null,romo,18,dorn,17,quart,516,aptara,573,null,null,cooperat,65,opsociety,105,rdc,1497,stno3,478,ramnagar,52131,behrampura,1814,null,null,neae,789,netra,1077,copper,1696,frt,67,intercraft,68
null,null,housingh,1077,ward17,100,null,null,null,null,romno,13,donn,11,qutr,426,aprtmnt,571,null,null,cooperati,65,societi,96,ringroad,1415,steert,470,nagaon,48915,bijbehara,1149,null,null,purnea,17950,neeta,1054,thoppumpady,1519,payfront,66,maftiyapara,59
null,null,hno22,974,ward18,99,null,null,null,null,romon,13,doroo,10,quar,399,apartement,565,null,null,coopera,52,societysector,94,roadopp,1408,still,449,vizianagaram,48204,behra,938,null,null,1near,1135,signet,909,roadopp,1408,frnds,60,mindcraft,56
null,null,housin,971,ward16,98,null,null,null,null,rooo,6,doron,9,quartar,322,apm,560,null,null,cooparative,51,society2,89,roadnr,1355,streetna,433,mahabubnagar,36852,rashbehari,920,null,null,nonear,1004,netivali,894,thoppur,1405,frondoso,50,dafter,54
null,null,hno23,964,ward19,81,null,null,null,null,ronn,6,dorono,8,qutar,286,apana,552,null,null,coophsoc,50,socicty,80,roadnew,1304,stno4,360,jayanagar,35538,behal,879,null,null,maharashtranear,945,thanethane,893,thoppampatti,1206,ifront,44,shaft,52
null,null,housr,963,ward20,74,null,null,null,null,null,null,drrn,6,qurt,252,apartmnt,451,null,null,coopretive,49,societyplot,69,aburoad,1151,streat,360,virudhunagar,33647,behlana,863,null,null,delhinear,818,bennett,893,shopper,1149,infrot,42,maftiya,52
null,null,hnoc,913,won,71,null,null,null,null,null,null,droon,6,qter,241,apratment,450,null,null,coopbank,49,societty,68,rda,1127,stion,327,junagadh,31024,behlolpur,750,null,null,2near,762,comnet,883,gonikoppal,1012,sefron,37,wizcraft,50
null,null,hno21,911,ward21,68,null,null,null,null,null,null,drrr,5,quat,223,apta,408,null,null,coophousoc,47,society1,66,mg_road,1099,stri,302,nagapattinam,29312,behl,649,null,null,eastnear,627,nettur,851,rajrooppur,847,frontiers,36,draftfcb,48
null,null,hno25,894,ward01,66,null,null,null,null,null,null,null,null,quare,213,aptmnt,393,null,null,cooperganj,41,sociery,66,rdno,996,streert,294,ulhasnagar,25989,talbehat,617,null,null,westnear,581,netajinagar,799,nagaropp,831,froots,36,daftri,44
null,null,hnoa,861,ward02,63,null,null,null,null,null,null,null,null,qrtno,197,aptm,344,null,null,cooptex,39,ophsgsociety,62,abroad,990,streett,283,rupnagar,24470,beheramal,471,null,null,societynear,526,nethravathi,795,manthoppu,792,riverfront,34,pycrafts,43
null,null,hno24,861,ward09,58,null,null,null,null,null,null,null,null,querter,183,apara,332,null,null,coopar,34,nagarsociety,61,roadarikathu,961,stee,274,muzaffarnagar,24450,behali,451,null,null,nearest,520,magnet,784,kallooppara,729,aquafront,32,saft,43
null,null,hno0,794,ward23,54,null,null,null,null,null,null,null,null,queta,182,apro,260,null,null,cooph,34,societynew,54,rdp,911,streetanna,269,mahbubnagar,24068,behea,430,null,null,gleneagles,507,nettissery,754,sondekoppa,684,saffrony,30,stovekraft,40
null,null,hno28,765,ward22,52,null,null,null,null,null,null,null,null,qtno,182,apartmet,258,null,null,coopreative,34,housociety,48,lhroad,862,stno5,266,ahmadnagar,22943,beharbari,404,null,null,housenear,418,dunetha,717,toppo,670,harbourfront,29,graft,40
null,null,hno30,759,ward06,52,null,null,null,null,null,null,null,null,que,171,apartmnet,255,null,null,cooperating,28,societystreet,47,rden,793,steno,261,vijayanagar,22879,behr,395,null,null,roystonea,398,netrang,706,kooroppada,629,noinfront,27,daftry,40
null,null,hno26,758,ward05,51,null,null,null,null,null,null,null,null,qur,158,aptment,250,null,null,coophou,28,societypin,47,rds,765,stel,251,yamunanagar,21922,behman,388,null,null,3near,368,neeti,693,shoppe,508,fronter,26,technocrafts,39
null,null,hno29,733,ward08,47,null,null,null,null,null,null,null,null,quate,150,apartmant,248,null,null,coophosoc,26,socio,46,roadpali,750,strreet,236,surendranagar,21761,behnd,377,null,null,neamatpur,348,navaneetham,653,koppala,479,frooti,23,krafts,39
null,null,hno27,674,ward07,47,null,null,null,null,null,null,null,null,qater,132,apet,246,null,null,cooperatve,23,societyflat,44,roadlines,699,stno6,233,indiranagar,20922,behak,376,null,null,crossnear,313,cabinet,626,suntikoppa,477,roadinfront,21,sellcraft,31
null,null,housi,648,ward28,46,null,null,null,null,null,null,null,null,qarter,107,apn,233,null,null,coopration,21,parksociety,44,rdso,634,stell,230,vidyanagar,19981,behinde,367,null,null,floornear,296,nettapakkam,618,opps,456,nagarinfront,21,moonraft,31
null,null,housefed,630,ward03,46,null,null,null,null,null,null,null,null,quatter,99,apatnam,198,null,null,coophsocltd,21,societyn,40,roadbangalore,600,steer,225,rajajinagar,17732,behbalpur,363,null,null,punenear,291,netapp,617,opposi,434,frond,20,bodycraft,30
null,null,hno00,623,ward04,44,null,null,null,null,null,null,null,null,quetta,92,apertment,192,null,null,cooprativ,20,socite,39,rdb,591,stno8,194,sriganganagar,17009,behli,363,null,null,parknear,285,netralaya,564,rooppura,431,froniter,20,drafting,29
null,null,hno45,617,ward26,40,null,null,null,null,null,null,null,null,queter,91,apartmetn,186,null,null,coopt,19,societybh,37,akroad,585,stet,190,nagawara,14882,behara,347,null,null,bangalorenear,285,praneeth,529,kottoppadam,426,infrotech,18,draftsman,29
null,null,hno33,589,ward25,39,null,null,null,null,null,null,null,null,qauter,85,apartmentnear,182,null,null,coophsgso,17,socia,37,katolroad,579,streel,175,maninagar,14532,cal_behela,315,null,null,4near,284,netcracker,486,shiralakoppa,421,frontage,16,aftabuddin,29
null,null,housep,588,ward24,39,null,null,null,null,null,null,null,null,qrn,83,apate,180,null,null,cooprate,16,societypune,36,broadcast,559,ster,170,balanagar,14100,beharipur,309,null,null,hospitalnear,278,neturia,476,oppos,413,frontizo,15,alkraft,29
null,null,hno49,585,wrdno,36,null,null,null,null,null,null,null,null,quatr,83,aparatment,164,null,null,cooper's,16,societyety,36,broadband,538,stno7,167,annanagar,13757,behna,298,null,null,viharnear,257,sunet,462,shopprix,400,zaffron,14,kisankraft,27
null,null,hno42,577,ward27,30,null,null,null,null,null,null,null,null,qaurter,82,aprtmt,158,null,null,coopertaive,15,societry,34,broadcom,532,sterrt,163,modinagar,13191,behru,281,null,null,margnear,251,nethimedu,443,oppsit,400,seffron,14,datacraft,26
null,null,hno35,576,ward31,27,null,null,null,null,null,null,null,null,qutu,67,ape,142,null,null,cooperleaf,14,societym,34,roadsurat,509,streetn,157,rajnagar,13172,ambehta,281,null,null,layoutnear,250,coronet,429,oppst,372,frnd,13,hafth,25
null,null,hno32,574,ward30,26,null,null,null,null,null,null,null,null,quartr,56,aptean,137,null,null,coophsgsoltd,14,societya,33,jailroad,484,strert,153,vijaynagar,12564,behdala,274,null,null,138near,247,neethi,427,oppanakara,370,fronts,13,woodcraft,25
null,null,hno40,559,ward29,24,null,null,null,null,null,null,null,null,qtar,54,apan,131,null,null,coophsgltd,14,sociyti,32,nsroad,481,strteet,153,ashoknagar,12322,colonybehind,264,null,null,mumbainear,226,neethu,412,shiralkoppa,369,frnst,13,neokraft,25
