word0,frequency1,word2,frequency3,word4,frequency5,word6,frequency7,word8,frequency9,word10,frequency11,word12,frequency13,word14,frequency15,word16,frequency17,word18,frequency19,word20,frequency21,word22,frequency23,word24,frequency25,word26,frequency27,word28,frequency29,word30,frequency31,word32,frequency33,word34,frequency35,word36,frequency37,word38,frequency39,word40,frequency41,word42,frequency43
null,null,hno#,147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyairport,6,roadline,107,streetnan,6,devinagar,1903,behlola,25,null,null,ludhiananear,59,netavali,58,apartmentopp,82,null,null,null,null
null,null,hno163,146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societykrishna,6,roadmira,107,steelt,6,sriramnagar,1891,behel,24,null,null,hooghlynear,58,kenetty,57,thopp,82,null,null,null,null
null,null,hno200,143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyshanti,6,hospitalroad,106,stren,6,hosanagara,1862,behuria,24,null,null,gallinear,58,nets,57,puttuthoppu,82,null,null,null,null
null,null,hnos,143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societycivil,6,rdvv,106,st24,6,uttamnagar,1859,behrol,24,null,null,gorakhpurnear,58,jnet,57,oppiste,82,null,null,null,null
null,null,hno206,143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societynaroda,6,roadthanjavur,106,distrtct,6,juinagar,1853,coochbeher,24,null,null,guinea,58,chenetha,56,kopparambil,82,null,null,null,null
null,null,hno185,142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyse,6,roadne,106,stno30,6,jyangra,1851,behral,24,null,null,nearchurch,57,neethaji,56,kenchikoppa,82,null,null,null,null
null,null,hno198,142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyindia,6,ghroad,105,stno35,6,padmanabhanagar,1838,hbehar,24,null,null,lnear,57,netiwali,56,sunnadakoppa,82,null,null,null,null
null,null,hno189,141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societykaramsad,6,mountroad,105,st20,6,ambikanagar,1832,complexbehind,23,null,null,18near,57,annet,56,pooppara,82,null,null,null,null
null,null,hno230,141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societnear,6,krroad,102,stnn,6,muktainagar,1831,4behind,23,null,null,22near,57,cybernet,56,thoppayil,81,null,null,null,null
null,null,hno196,141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sociati,6,misroad,101,stno28,6,junagarh,1829,behka,23,null,null,kukatpallynear,57,cinetown,55,oppossite,80,null,null,null,null
null,null,hno176,141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societymahesana,6,korothroad,101,stno32,6,bharathinagar,1826,behrambag,23,null,null,maneasr,57,nethravathy,55,houseopp,79,null,null,null,null
null,null,hno224,141,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societycolony,6,sbroad,101,steena,6,santinagar,1821,behramp,23,null,null,tnear,56,indusnet,55,opphdfc,79,null,null,null,null
null,null,hno214,138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societynehru,6,roadvile,100,strel,6,tingre,1815,136behind,23,null,null,atnear,56,planetorium,54,oppram,78,null,null,null,null
null,null,hno174,137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society3rd,6,mandirroad,100,stno27,6,kushalnagar,1804,135behind,23,null,null,thaneambernath,56,nethradhama,54,oppcivil,78,null,null,null,null
null,null,hno197,137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,agsociety,6,bproad,100,st15,6,jyotinagar,1794,behrauli,23,null,null,nearto,55,mannetikota,54,oppbharat,78,null,null,null,null
null,null,hno184,137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societh,6,rdd,100,streetayan,6,sreenagar,1792,behre,22,null,null,nearpost,55,netke,54,oppposite,77,null,null,null,null
null,null,hno218,136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society2nd,6,templeroad,100,strtion,6,bhimnagar,1791,nilayabehind,22,null,null,mediterranea,55,netwar,54,ropp,77,null,null,null,null
null,null,hno194,135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,housesociety,6,miroad,100,strin,6,munagala,1762,bangalorebehind,22,null,null,millinea,55,appartmnets,54,pulianthoppu,77,null,null,null,null
null,null,hno199,133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,navjivansociety,6,roaduvila,100,infrastrt,6,gayatrinagar,1740,coochbehar736,22,null,null,25near,54,netoor,53,koppunuru,76,null,null,null,null
null,null,housekeeping,133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society4,6,roadpost,99,sterret,6,kalyannagar,1738,behramar,22,null,null,mandinear,54,nethajinagara,53,guruthoppu,76,null,null,null,null
null,null,hno182,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ramsociety,6,gstroad,99,strtimohalla,6,santhinagar,1718,behni,22,null,null,snear,54,ganeti,52,oppd,75,null,null,null,null
null,null,houspital,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ayyapasociety,6,roadborivali,98,strot,6,nagaiah,1718,138behind,21,null,null,neargurudwara,54,clarinet,52,sooppy,75,null,null,null,null
null,null,housse,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyvadodara,6,vroad,98,stiral,6,mynagappally,1714,5behind,21,null,null,sirsanear,54,basnet,52,kopparthi,75,null,null,null,null
null,null,hno215,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society************,6,nhroad,98,stroa,6,banaganapalle,1711,behma,21,null,null,linesnear,53,magnetica,51,ambaragoppa,75,null,null,null,null
null,null,hno227,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyppady,6,roadblock,97,stnon,6,nagalapuram,1711,chowkbehind,21,null,null,26near,53,netji,51,maratikoppa,74,null,null,null,null
null,null,hnoi,130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society*********************,6,mira_road_east,97,stiil,6,brajrajnagar,1694,behhind,21,null,null,21near,53,nethravati,51,chandanathoppu,74,null,null,null,null
null,null,hno225,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,coophosociety,6,rdens,97,steelo,6,nathnagar,1691,behtakalan,21,null,null,nearganesh,53,ninety,51,doddakoppalu,74,null,null,null,null
null,null,hno221,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society#,6,paudroad,97,st40,6,bharatnagar,1677,chawlbehind,20,null,null,stationnear,52,nethekuppam,51,marikoppa,74,null,null,null,null
null,null,hnoh,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society****************,6,mdroad,97,st#8,6,prakashnagar,1675,homebehind,20,null,null,rangareddynear,52,comnetcen,51,eopp,74,null,null,null,null
null,null,household,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society*****************,6,roadh,96,stno09,6,bibinagar,1672,psbehala,20,null,null,aurangabadnear,52,pathinettil,50,mooppan,74,null,null,null,null
null,null,hno226,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,socitie,6,roado,95,stean,6,kalinagar,1671,housebehind,20,null,null,bhopalnear,52,panethi,50,chikkoppa,74,null,null,null,null
null,null,hno183,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societychhapra,6,camproad,95,st09,5,chamarajnagar,1663,beherampur,20,null,null,neary,52,netkalappa,50,goppili,74,null,null,null,null
null,null,hno09,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,gokuldhamsociety,6,roadbeside,94,steny,5,doorvaninagar,1653,ibehind,20,null,null,bhubaneswarnear,52,urjanet,50,sethiyathoppu,74,null,null,null,null
null,null,hno216,126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societynoida201309,6,svproad,93,st#2,5,vimannagar,1652,punebehind,20,null,null,nanear,52,netalde,50,opplane,73,null,null,null,null
null,null,hno05,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sociyty,6,ljroad,93,stono,5,fatehnagar,1651,delhibehind,20,null,null,goanear,52,nettigere,50,stoppage,73,null,null,null,null
null,null,hno238,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyna,6,tjroad,93,strone,5,udayanagar,1622,beherapat,20,null,null,bastinear,51,sunetra,49,oppbalaji,73,null,null,null,null
null,null,hno209,124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,socitay,6,roadgoregaon,92,stril,5,ashokenagar,1620,behariji,20,null,null,nearc,51,ceneter,49,roppa,73,null,null,null,null
null,null,hno301,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,jalaramsociety,6,baroada,92,null,null,nagawar,1615,behina,20,null,null,hostelnear,51,venetian,49,crossopp,72,null,null,null,null
null,null,hno246,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,socien,6,rdl,92,null,null,bangra,1615,beharjach,20,null,null,moradabadnear,51,spectranet,49,koppath,72,null,null,null,null
null,null,hno220,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societywaghodiya,6,kotharoad,91,null,null,toranagallu,1614,dtcoochbehar,20,null,null,iinear,51,punetha,48,poomthoppu,71,null,null,null,null
null,null,hno243,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societa,6,roadj,91,null,null,dungra,1613,dalbehera,20,null,null,pnear,51,neether,48,boppanahalli,71,null,null,null,null
null,null,hno302,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,housing0239society,6,naroad,91,null,null,bijainagar,1607,behota,19,null,null,neardurga,51,neethipuram,48,govanakoppa,71,null,null,null,null
null,null,hno250,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society***********************,6,vkroad,91,null,null,hosanagar,1578,[behind,19,null,null,neatr,51,charnet,48,opppower,70,null,null,null,null
null,null,hno191,121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societygidc,6,roadstreet,90,null,null,kanakanagar,1556,behana,19,null,null,odishanear,51,khanethi,48,oppl,70,null,null,null,null
null,null,hnomig,121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societygate,5,maroad,89,null,null,padmanagar,1549,beheraguda,19,null,null,chawlnear,50,amnet,48,koppan,70,null,null,null,null
null,null,hno03,121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,society14,5,roadtirupur,89,null,null,mangrulpir,1547,133behind,19,null,null,45near,49,konetipuram,48,appartmentopp,69,null,null,null,null
null,null,house',121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societysno,5,dbroad,89,null,null,vinobanagar,1546,behede,18,null,null,compoundnear,49,senetry,48,soppinakeri,69,null,null,null,null
null,null,hno242,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societygujarat,5,roadjodhpur,88,null,null,jayanagara,1542,stagebehind,18,null,null,secunderabadnear,49,netenrich,48,varavilathoppu,69,null,null,null,null
null,null,hno211,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societyiety,5,lbroad,88,null,null,jantanagar,1534,appartmentbehind,18,null,null,neaqr,49,netxcell,48,oppreliance,68,null,null,null,null
null,null,hno213,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societynaranpura,5,rdn,88,null,null,sadashivanagar,1504,niwasbehind,18,null,null,neapensea,49,network18,47,koppedu,68,null,null,null,null
null,null,hno236,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,societymakarpura,5,roadbandra,88,null,null,patnagarh,1498,roadbehi,18,null,null,paranear,48,panetar,47,coopp,67,null,null,null,null
null,null,hno240,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,pgroad,88,null,null,ramdevnagar,1489,behnera,18,null,null,nearsbi,48,netivli,47,oppair,67,null,null,null,null
null,null,hno08,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,beachroad,88,null,null,rajivnagar,1472,behbalmanj,18,null,null,129near,48,manet,47,oppdr,67,null,null,null,null
null,null,hno304,118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,csroad,86,null,null,mahavirnagar,1468,behihd,18,null,null,rohtaknear,48,lecoanet,47,swamithoppu,67,null,null,null,null
null,null,hno261,118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdno3,86,null,null,usnagar,1467,beheta,18,null,null,ganjamnear,47,nettiyadu,47,thennanthoppu,66,null,null,null,null
null,null,hno235,116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadnea,86,null,null,ringroad,1415,behasa,18,null,null,goregaoneast,47,ghaneta,47,oopp,66,null,null,null,null
null,null,hno195,116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadno1,86,null,null,nagadevanahalli,1415,beheradihi,18,null,null,hotelnear,46,loknete,46,oppcanara,65,null,null,null,null
null,null,hno264,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,cstroad,85,null,null,meghnagar,1401,134behind,18,null,null,neawr,45,netto,46,dasanakoppalu,65,null,null,null,null
null,null,hno04,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,drbaroad,85,null,null,sahakaranagar,1400,behulapara,18,null,null,chandigarhnear,45,cenetr,46,stopp,65,null,null,null,null
null,null,housepost,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mkroad,85,null,null,basaveshwarnagar,1391,7behind,17,null,null,gnear,45,managemnet,46,andithoppu,65,null,null,null,null
null,null,housenumber,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,gproad,85,null,null,thanagazi,1386,mainbehind,17,null,null,28near,45,nanethan,46,oppfire,64,null,null,null,null
null,null,hnot,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadbhandup,84,null,null,anushaktinagar,1384,behramke,17,null,null,cuttacknear,45,eneterprises,46,laneopp,64,null,null,null,null
null,null,hno208,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,airportroad,84,null,null,zuarinagar,1380,cochbehar,17,null,null,nearn,45,netwad,46,oppdena,64,null,null,null,null
null,null,hno217,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadq,83,null,null,ponnagaram,1376,behinid,17,null,null,neartemple,45,moneta,45,mooppil,64,null,null,null,null
null,null,hno256,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rd1,83,null,null,sevanagar,1371,rbehind,17,null,null,raipurnear,45,netweb,45,ilanthoppu,64,null,null,null,null
null,null,housee,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdandheri,82,null,null,nagarpalika,1369,beharapara,17,null,null,03near,45,granet,44,oppcity,63,null,null,null,null
null,null,hno228,113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdr,82,null,null,autonagar,1365,ambehol,17,null,null,tiruvallurnear,45,genext,44,chinnathoppu,63,null,null,null,null
null,null,hno255,113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sdroad,82,null,null,madhavnagar,1359,9behind,17,null,null,nearhotel,44,sanethu,44,mumbaiopp,63,null,null,null,null
null,null,hno233,112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,jajpurroad,82,null,null,kamarajnagar,1356,kochbehar,17,null,null,27near,44,labournet,44,thoppukkadu,63,null,null,null,null
null,null,hno223,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,canalroad,81,null,null,swarupnagar,1352,rashbehar,17,null,null,pathnear,44,senetorium,43,oppm,62,null,null,null,null
null,null,hno229,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,churchroad,81,null,null,urjanagar,1317,behabari,17,null,null,30near,44,intelinet,43,aopp,62,null,null,null,null
null,null,hno231,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadsector,81,null,null,naganna,1316,banabehari,17,null,null,nashiknear,44,nextra,43,apptopp,62,null,null,null,null
null,null,hno248,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sohnaroad,80,null,null,sundarnagar,1312,beharchuwa,17,null,null,ranchinear,44,khanetar,43,kerekoppa,62,null,null,null,null
null,null,hno274,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,tilakroad,80,null,null,gbnagar,1294,jaipurbehind,17,null,null,kurukshetranear,44,plannet,42,yennekoppa,62,null,null,null,null
null,null,hno266,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadshivaji,80,null,null,satyanagar,1290,jalbehri,17,null,null,amritsarnear,44,nettal,42,koppulavari,61,null,null,null,null
null,null,hno219,109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mthroad,79,null,null,kalanagar,1283,chambeh,17,null,null,31near,43,navaneethammal,42,koppanampalayam,61,null,null,null,null
null,null,hnom,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadgurgaon,79,null,null,kalinganagar,1280,behdali,17,null,null,extnear,43,nettethara,42,opplaxmi,61,null,null,null,null
null,null,hno269,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,millroad,79,null,null,kalyananagar,1279,behring,17,null,null,23near,43,telenet,42,koppadkeri,61,null,null,null,null
null,null,hno244,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadnext,79,null,null,shreenagar,1269,behrewala,17,null,null,no2near,43,praneetha,41,dopp,61,null,null,null,null
null,null,hno305,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ssroad,79,null,null,sasnagar,1244,wardbehind,16,null,null,lineage,43,wildnet,41,shopperstop,61,null,null,null,null
null,null,hno316,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,road3,78,null,null,gotanagar,1244,l_behela,16,null,null,erodenear,43,nettinampilly,41,kumbarakoppalu,61,null,null,null,null
null,null,hno270,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadsalem,78,null,null,dongre,1241,behgal,16,null,null,nagaranear,43,nettarakonam,41,oppal,60,null,null,null,null
null,null,hnop,106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nalroad,78,null,null,viruthunagar,1240,behinh,16,null,null,neathaji,43,netramli,41,oppjntu,60,null,null,null,null
null,null,hno07,106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadludhiana,78,null,null,batanagar,1234,behraval,16,null,null,48near,43,nettikkadan,41,koppisetti,60,null,null,null,null
null,null,housewares,106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ntroad,78,null,null,nepanagar,1223,behiond,16,null,null,shimoganear,43,nxtra,41,karadikoppa,60,null,null,null,null
null,null,hno267,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,droad,78,null,null,doongri,1222,behindd,16,null,null,sonipatnear,43,nettaiyampalayam,40,koppadakeri,60,null,null,null,null
null,null,hno253,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roaderode,78,null,null,naganathapura,1220,tbehind,16,null,null,53near,42,dhanethu,40,4opp,59,null,null,null,null
null,null,hno249,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,uniroad,78,null,null,lakshminagar,1219,bazarbehind,16,null,null,phasenear,42,netsol,40,schoolopp,59,null,null,null,null
null,null,hnology,102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadg,78,null,null,udaynagar,1218,phoolbehar,16,null,null,gaonnear,42,nettikadan,39,oppgandhi,59,null,null,null,null
null,null,hno234,102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdcis,78,null,null,kashinagar,1214,nbehind,16,null,null,townshipnear,42,kanetkar,39,soppahalli,59,null,null,null,null
null,null,hno254,101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdy,78,null,null,kamakhyanagar,1213,barabehera,16,null,null,nearramalayam,42,netajipara,39,oppanand,59,null,null,null,null
null,null,housenr,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadguntur,77,null,null,hampinagar,1211,behiya,16,null,null,hnonear,42,nethakuppam,39,topper,59,null,null,null,null
null,null,hno285,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,road#,77,null,null,upnagar,1208,behsar,16,null,null,zinnea,42,sakhineti,39,oppmunicipal,58,null,null,null,null
null,null,hno281,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sinhagad_road,77,null,null,nabanagar,1208,behmna,16,null,null,neaf,42,anetha,39,opproad,58,null,null,null,null
null,null,hno247,99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,caroad,77,null,null,shangrila,1196,hirbeh,16,null,null,agranear,42,meneta,39,oppn,58,null,null,null,null
null,null,housings,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,hillroad,77,null,null,managar,1196,beharadih,16,null,null,nean,41,navaneethakrishnapuram,39,oppokhran,57,null,null,null,null
null,null,hnolig,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadkandivali,76,null,null,nabinagar,1190,behlopur,16,null,null,nearschool,41,benett,39,baburayankoppal,57,null,null,null,null
null,null,hno252,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,iroad,76,null,null,panagal,1188,bbehta,16,null,null,gwaliornear,41,nethapakkam,38,basavanakoppa,57,null,null,null,null
null,null,hno241,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadu,76,null,null,wadrafnagar,1185,beheind,16,null,null,haridwarnear,41,neetha,38,thoppippala,57,null,null,null,null
null,null,hno237,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mmroad,76,null,null,nagarkoil,1183,apptbehind,15,null,null,plazanear,41,netsoft,38,vellooppara,57,null,null,null,null
null,null,hno1a,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadiii,76,null,null,vidyanagara,1183,behdi,15,null,null,pionear,41,gennext,38,megalakoppalu,57,null,null,null,null
null,null,hno265,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3road,75,null,null,ponnagar,1179,dbehind,15,null,null,towersnear,41,nxtgen,38,opping,56,null,null,null,null
null,null,hno232,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadkalyan,75,null,null,nagrik,1170,gardenbehind,15,null,null,bhawannear,41,megneto,38,goppur,56,null,null,null,null
null,null,hno273,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rd#2,75,null,null,upanagar,1167,behroon,15,null,null,quartersnear,41,nethajiroad,37,thoppumpadi,56,null,null,null,null
null,null,hno239,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadarikathuveedu,75,null,null,banagalore,1161,behindh,15,null,null,bhavannear,41,aneeta,37,koyyathoppu,56,null,null,null,null
null,null,hnon,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,maniroad,75,null,null,deepnagar,1153,behindold,15,null,null,pathankotnear,41,banethu,37,oppsri,56,null,null,null,null
null,null,hno312,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadarikath,74,null,null,gangrar,1149,enclavebehind,15,null,null,homenear,40,netting,37,koppalam,56,null,null,null,null
null,null,hno283,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadchembur,73,null,null,jashpurnagar,1140,behul,15,null,null,mohalinear,40,cennet,37,thoppalagunda,56,null,null,null,null
null,null,hno245,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rd3,73,null,null,maharajanagar,1136,behia,15,null,null,bhilwaranear,40,netw,37,chsopp,55,null,null,null,null
null,null,housg,94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadnorth,73,null,null,bhatnagar,1132,behrain,15,null,null,neak,40,netawali,37,oppdurga,55,null,null,null,null
null,null,hno271,94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mallroad,73,null,null,hayatnagar,1119,mumbaibehind,15,null,null,hallinear,40,netralya,36,manjathoppu,55,null,null,null,null
null,null,hno303,94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadgulbarga,72,null,null,nagariya,1119,137behind,15,null,null,distnear,40,netsurf,36,pillaithoppu,54,null,null,null,null
null,null,hno284,93,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadram,72,null,null,davanagare,1118,kanbehri,15,null,null,manear,40,pathinettam,36,annathoppu,54,null,null,null,null
null,null,hno257,93,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadoff,72,null,null,khodiyarnagar,1113,behuti,15,null,null,nearnear,40,netional,36,soppina,54,null,null,null,null
null,null,hno292,92,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadno3,71,null,null,koldongri,1107,behrora,15,null,null,wadinear,39,neetur,36,dasankoppa,54,null,null,null,null
null,null,hno299,91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadcivil,71,null,null,alamnagar,1106,nagarbehi,14,null,null,bunglowsnear,39,ranet,35,oppvijay,54,null,null,null,null
null,null,hno306,91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rcroad,71,null,null,vijayanagaram,1106,blockbehind,14,null,null,nearhanumantemple,39,govermnet,35,marathikoppa,54,null,null,null,null
null,null,hno300,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,lfroad,71,null,null,abhoynagar,1098,pethbehind,14,null,null,solannear,39,coconet,35,choppa,54,null,null,null,null
null,null,hno272,90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,roadvadodaragujarat,71,null,null,rtnagar,1095,barabehara,14,null,null,mathuranear,39,westnext,35,zoppadpatti,54,null,null,null,null
null,null,hno296,89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,rdpune,70,null,null,izzatnagar,1093,behlu,14,null,null,thaneat,39,governmnet,35,dasarakoppalu,54,null,null,null,null
null,null,hno287,89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,khachroad,70,null,null,srinivasnagar,1078,collegebehind,14,null,null,honear,38,planetaria,35,opppsite,53,null,null,null,null
